trading_day,IC,RIC
70,-0.6797024207410202,-0.5
71,0.9960198213798591,1.0
72,0.9999309342058866,1.0
73,0.9992727169088735,1.0
74,0.9572383438462653,1.0
75,0.9902848880215503,0.5
76,0.8070898736893709,0.5
77,0.9084079817533074,1.0
78,0.3308092357687527,0.5
79,0.9805085067383537,1.0
80,0.9877646826131815,1.0
81,0.9099680060326388,0.5
82,0.9032733660637281,1.0
83,0.9423546275178037,0.5
84,0.9102467124682502,0.5
85,0.9986143292778634,1.0
86,0.9620634836587013,0.5
87,0.9125461957857957,0.5
88,0.9980788270455937,1.0
89,0.9992646682487063,1.0
90,0.9991363343724771,1.0
91,0.912609631808377,0.5
92,0.464457495340231,0.5
93,0.998705886909759,1.0
94,0.9999612987795116,1.0
95,0.832700059111898,0.5
96,0.9783704347618994,1.0
97,0.9996093535247647,1.0
98,0.969209863974213,1.0
99,0.9998233136361288,1.0
100,0.9877736466469229,1.0
101,0.9821094894028836,0.5
102,0.6139217516550814,0.5
103,0.9981539795722765,1.0
104,0.937691839927482,0.5
105,-0.06821461558955241,-0.5
106,0.9987556283113361,1.0
107,0.9918195988628321,0.5
108,0.9937316520293094,1.0
109,0.9999151237423647,1.0
110,0.5975525479239793,0.5
111,-0.48622391929801007,-0.5
112,0.9997517118996745,1.0
113,0.8866340958938149,0.5
114,0.9833522848808565,0.5
115,0.9850326703726694,0.5
116,0.9644991954322433,0.5
117,-0.5872997982583557,-0.5
118,0.9982277745743758,1.0
119,0.9834246378032404,0.5
120,0.9217040234143788,0.5
121,0.9788119090963113,1.0
122,-0.5644795566549414,-0.5
123,0.9996148933298467,1.0
124,0.6447569723647883,0.5
125,0.8536471343219734,1.0
126,0.8724705600966485,1.0
127,0.9907882563081705,1.0
128,0.9320861245718438,0.5
129,0.8879917235079593,1.0
130,0.9055668001112481,0.5
131,0.962915724059818,1.0
132,-0.7379121756755131,-0.5
133,-0.5017791441904448,-0.5
134,0.9493306875302172,1.0
135,0.9994128939787656,1.0
136,0.9933359038402152,0.5
137,0.3249226656224598,-0.5
138,0.9883416336411766,1.0
139,0.9774724696877403,0.5
140,0.30691520799288596,0.5
141,0.9629891522971884,1.0
142,0.9998654174828384,1.0
143,0.7542318908309744,0.5
144,0.9739239678900545,1.0
145,0.976435603048154,1.0
146,0.954851642149936,1.0
147,-0.04688959316170896,-0.5
148,0.9755567364079936,1.0
149,0.9812532958576015,0.5
150,-0.18896644171201385,-0.5
151,0.9414125104845044,0.5
152,0.9999669704272872,1.0
153,0.9717340926852265,0.5
154,0.18265107034880473,-0.5
155,0.9987051996186669,1.0
156,0.9899041816710571,1.0
157,0.9974528105178585,1.0
158,0.9955409381830967,1.0
159,0.999976690256778,1.0
160,0.997495904941222,1.0
161,0.6466730437987964,0.5
162,0.9010703896057757,0.5
163,0.9301531938707829,1.0
164,0.9440122775662885,1.0
165,0.996491225421759,1.0
166,0.6038566096826218,0.5
167,0.5549032790200644,0.5
168,0.0673558016425192,-0.5
169,0.9980655849875764,1.0
170,0.993569436767779,1.0
171,0.9489779540958835,0.5
172,0.9999640886531682,0.5
173,0.7730504444209171,0.5
174,0.7525604482931987,0.5
175,0.9789583901530352,0.5
176,0.9943564860808642,0.5
177,0.9272696149887837,1.0
178,-0.5965478720509095,-0.5
179,0.9710871938974556,0.5
180,0.9827040820401289,1.0
181,0.9584512038522944,0.5
182,0.995933478586941,1.0
183,0.9722089247015054,1.0
184,0.9998690321020616,1.0
185,0.9174891809667509,1.0
186,0.997815646969355,1.0
187,0.9445573571326703,0.5
188,-0.7322069034087031,-0.5
189,0.9941712552700077,1.0
190,0.955472713455107,0.5
191,0.976142955488515,1.0
192,0.9940123560393335,1.0
193,0.9534528645799777,1.0
194,0.8997344599261846,0.5
195,-0.29548790275887193,0.5
196,0.9987071838327388,1.0
197,0.9869716271276779,1.0
198,0.9908179249115556,1.0
199,-0.9341148514294231,-1.0
200,0.9983998538865758,1.0
201,0.8998947508781926,0.5
202,0.9388119520788551,1.0
203,0.9022210523525671,0.5
204,0.4922563930036182,0.5
205,0.8171542596597936,1.0
206,0.9983730506629436,1.0
207,0.9996282238616829,1.0
208,0.9895063968103318,0.5
209,0.9991120212449046,1.0
210,0.8937823601773673,0.5
211,0.9998201281053013,0.5
212,0.9996079842789017,1.0
213,-0.9849806338777718,-1.0
214,0.9925500961430794,1.0
215,0.9896712182420004,1.0
216,0.9803940104186657,1.0
217,0.9976797555800887,1.0
218,0.9113783873218093,1.0
219,-0.44023434054290705,-0.5
220,0.12138814363771647,-0.5
221,0.9997193554748177,1.0
222,0.9857313657178282,1.0
223,0.899542700781884,0.5
224,0.9835097956267722,1.0
225,0.9655183949269502,0.5
226,0.9963248697673276,1.0
227,0.9998185272093675,1.0
228,-0.9437171135730512,-1.0
229,0.9507751091089696,1.0
230,0.9476282750600472,1.0
231,-0.6668842606050026,-0.5
232,-0.9796225132849312,-1.0
233,0.9695754033837745,1.0
234,0.9983253283807573,1.0
235,0.9615157906105335,1.0
236,0.7448455809248373,0.5
237,-0.0944907008102446,-0.5
238,0.9858421160880839,0.5
239,0.7731327607456314,1.0
240,0.606675216634819,0.5
241,0.8609582330525793,0.5
242,-0.9960533453999836,-0.5
243,0.8169977109232259,0.5
244,0.8566465136355104,0.5
245,0.9315669349196297,0.5
246,0.9740242019441021,1.0
247,0.9786544925428677,1.0
248,0.9999390681683258,1.0
249,0.8514828557794494,0.5
250,0.46686157577089915,0.5
251,0.9114618315633713,0.5
252,0.9842057250400104,1.0
253,0.45149007032752014,0.5
254,0.9847481048696762,1.0
255,0.903207057839895,0.5
256,0.9416489915308746,1.0
257,0.98877399333377,0.5
258,0.9484733425602923,0.5
259,0.972602267172609,1.0
260,0.9090290190630939,1.0
261,-0.9993682357931992,-1.0
262,0.9760333638026344,0.5
263,0.9867501244983118,0.5
264,0.9314233842913241,1.0
265,0.9061184698758824,1.0
266,-0.9363843448530773,-1.0
267,0.07693911612099845,0.5
268,0.9916757115381793,1.0
269,0.9873200601938242,1.0
270,0.6499078673468495,0.5
271,0.5004514248284196,0.5
272,0.052726643138026934,-0.5
273,-0.27273850513298553,-0.5
274,0.9370801876671826,1.0
275,0.8718255629456106,1.0
276,0.9857202643989659,1.0
277,0.9944251080031784,1.0
278,0.9674479279039404,1.0
279,0.9978102642104153,1.0
280,0.9901395456553242,1.0
281,0.9910294732705344,1.0
282,0.9999717149085712,1.0
283,-0.31771421572131214,0.5
284,0.6716311978309298,0.5
285,0.22493257866810393,0.5
286,0.97441806882139,0.5
287,0.9887175354929881,1.0
288,0.9976438673144715,1.0
289,0.9973254017022527,1.0
290,0.9569686540736783,1.0
291,0.9980873622166684,1.0
292,0.8549352882941059,1.0
293,0.8525468258255802,0.5
294,0.9846981263413669,0.5
295,0.8682336549293415,1.0
296,0.9897764480238728,1.0
297,0.9888672405737532,0.5
298,0.9225527206831798,1.0
299,0.9975697599987702,1.0
300,0.9999790628327678,1.0
301,0.8931623642274714,0.5
302,0.9446487522704038,0.5
303,0.7066189433603239,1.0
304,0.9927282736923004,0.5
305,0.8906195888191395,1.0
306,0.1684893514010842,0.5
307,0.8812574203852991,0.5
308,0.9974368909020651,1.0
309,0.9993867370684578,1.0
310,0.9991008031966824,1.0
311,0.9996447137291619,1.0
312,0.3429714633377158,0.5
313,0.9915821455319328,1.0
314,0.9498445222749617,1.0
315,-0.4223197543807395,-0.5
316,0.9966155138155668,1.0
317,0.9746861240914899,1.0
318,0.9871321315588414,1.0
319,0.9667226420697186,1.0
320,0.9998114426706302,1.0
321,0.9486633245995524,1.0
322,0.9465692626536557,0.5
323,0.9972864566748115,1.0
324,0.9840640863942428,1.0
325,0.9388907802334067,0.5
326,0.9720163052799303,1.0
327,0.949526893934064,1.0
328,0.992474795804258,0.5
329,0.4443283631097576,0.5
330,0.9194504565106416,0.5
331,0.9653873615053656,1.0
332,-0.6639984465587742,-0.5
333,0.9052682826688917,1.0
334,0.9920234398789125,1.0
335,0.9945979261367852,0.5
336,0.6937546063581523,0.5
337,0.884512497435713,1.0
338,0.9867013480413945,1.0
339,0.9834102120813573,1.0
340,0.9885662604305749,0.5
341,0.3012926930792597,0.5
342,0.9869605522459565,1.0
343,0.9993211994993046,0.5
344,0.9801279855377716,1.0
345,0.9999557154739613,1.0
346,0.9551935907634281,1.0
347,0.9900745019694639,1.0
348,0.9880254831505307,1.0
349,0.998422620532721,1.0
350,0.9997493562642956,1.0
351,0.9850068671785543,1.0
352,0.9857314463164947,1.0
353,0.9875204168827634,1.0
354,0.9534902952757424,1.0
355,0.9694465170327247,1.0
356,0.9652243688847348,0.5
357,0.16745785079423842,-0.5
358,0.9696984600570674,1.0
359,0.930164732707831,0.5
360,0.8848364546824242,1.0
361,0.9592842948965178,1.0
362,0.8395475929948014,0.5
363,0.9778613211063513,0.5
364,0.23146245460625833,-0.5
365,-0.8209154826965459,-0.5
366,0.4709134422316259,0.5
367,0.8788528787102511,1.0
368,0.7774033025237321,1.0
369,0.9857835721755401,1.0
370,0.6365952544214318,1.0
371,0.9981897604571995,1.0
372,0.5283283970826095,0.5
373,0.3503885821602429,0.5
374,0.9764902230251574,1.0
375,0.8223102619333106,0.5
376,-0.9997378915842241,-1.0
377,0.9978607555657629,1.0
378,0.8025004218263645,0.5
379,0.9990475126550405,1.0
380,0.999117699192753,1.0
381,0.9013410255393873,1.0
382,0.9958770278936109,1.0
383,0.9876990563197191,1.0
384,0.9954332547780623,1.0
385,-0.08027791883840783,-0.5
386,0.995453212701055,1.0
387,0.9924011373904222,1.0
388,0.9794720858436671,0.5
389,0.9351266690826504,0.5
390,0.9997639767577478,1.0
391,0.9916356034987842,1.0
392,-0.02429648499401717,-0.5
393,-0.2525356790550388,0.5
394,0.6208229400780864,1.0
395,-0.3325491628219969,-0.5
396,0.9411158206734532,1.0
397,-0.3005682998913581,-0.5
398,0.9004486200407996,1.0
399,0.9589354666684224,1.0
400,0.5495758229629607,0.5
401,0.6920302375774583,1.0
402,0.8931151047896285,1.0
403,0.3557532766128512,0.5
404,-0.2164261836056485,0.5
405,-0.7586713066099201,-1.0
406,-0.8710147072513483,-1.0
407,0.9641027477860308,0.5
408,-0.7458004077275413,-1.0
409,0.998691991631257,1.0
410,0.9659434221510538,1.0
411,0.8923089241385612,0.5
412,0.9400449556208375,1.0
413,0.4499856417074791,0.5
414,0.5606085519736701,0.5
415,0.9484344032042564,1.0
416,0.7722758280063651,0.5
417,-0.0920901920152612,-0.5
418,-0.6949055113731459,-0.5
419,0.9363022752717322,1.0
420,-0.7320115342946109,-0.5
421,0.8134613261160948,1.0
422,0.9996790302524545,1.0
423,0.7379725257662823,0.5
424,0.6870369031344804,0.5
425,0.9933890685518608,1.0
426,0.993224991120665,0.5
427,-0.3186048583202702,-0.5
428,-0.4320839310029716,-0.5
429,0.9828696317100526,0.5
430,0.9732589159007791,1.0
431,-0.580168159791295,-0.5
432,0.2853874340429721,0.5
433,-0.34933041713814267,-0.5
434,0.9295104623021838,1.0
435,0.43178732385689866,0.5
436,0.9778648489899184,1.0
437,-0.15801369443515467,0.5
438,0.9756406429354787,1.0
439,0.5096214163648022,0.5
440,0.9743960392756008,1.0
441,0.9975524161280642,1.0
442,0.9705900471781229,0.5
443,0.8498774895961094,0.5
444,0.9993323170334463,1.0
445,-0.6895370480803658,-1.0
446,-0.4128619624664597,-0.5
447,-0.7011255877058872,-0.5
448,-0.6530554411154684,-0.5
449,0.12004029019596184,0.5
450,0.9463362258122547,1.0
451,0.9796443524405244,0.5
452,-0.7508967848550656,-0.5
453,0.9979793398036058,1.0
454,0.7626124197463865,0.5
455,0.910128380102815,1.0
456,0.8970442648197049,0.5
457,0.9855707757281261,1.0
458,0.9989065676835147,1.0
459,0.642105858166346,0.5
460,0.7705971493384051,1.0
461,-0.9986754682926946,-0.5
462,0.9872727786838401,0.5
463,-0.19214286433313194,-0.5
464,0.8789722720081344,0.5
465,0.7458185027269592,0.5
466,0.8166094716625365,1.0
467,0.9999773650367326,1.0
468,-0.31180983980836235,-0.5
469,0.4370719580462896,0.5
470,0.9194966761663547,1.0
471,0.8550644690859133,0.5
472,0.975696674135271,1.0
473,0.1799578223103227,0.5
474,0.9875372868591801,1.0
475,0.931766933712142,1.0
476,0.15338571474087973,0.5
477,0.9985752313535385,1.0
478,0.823760698915991,0.5
479,0.8183334243773684,0.5
480,0.8957641604735741,0.5
481,0.4491341735241302,0.5
482,0.9588873568279468,1.0
483,0.9564570132704113,0.5
484,0.3753340230422829,0.5
485,-0.9222105429533273,-1.0
486,0.997279778145508,1.0
487,-0.9517231912144035,-0.5
488,-0.6998827341338024,-1.0
489,0.7043123417818378,0.5
490,-0.15865146154168544,-0.5
491,0.9068608447422308,0.5
492,0.9938986756212967,1.0
493,0.8105459165949774,1.0
494,0.9623492810107868,0.5
495,0.957899257984087,0.5
496,-0.9038410988143568,-0.5
497,0.6147049149536665,0.5
498,0.9928164786960011,0.5
499,0.9066580741905665,1.0
500,-0.06958092500853202,-0.5
501,0.9772458747607796,1.0
502,0.9528785991097566,1.0
503,-0.9882284813696475,-1.0
504,0.9061133202485084,1.0
505,0.9424025129741621,1.0
506,-0.8247902424173319,-1.0
507,-0.9877760610894328,-1.0
508,-0.7365818813184544,-0.5
509,0.9046193605760665,1.0
510,0.9719045792466705,0.5
511,0.6843056373622762,1.0
512,0.5503257932290592,0.5
513,0.21887481152179314,-0.5
514,0.7484527002548665,0.5
515,0.8841568707763289,0.5
516,-0.2691411481821975,0.5
517,0.3466946795553549,0.5
518,0.9704958960023287,1.0
519,0.18834607050652805,0.5
